Max SUM: 5
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
0 5 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
1 4 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
2 4 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
3 3 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 2
4 4 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0
5 3 1 0 2 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
6 3 0 1 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
7 4 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
8 4 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
9 2 0 1 1 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 2
10 3 1 0 3 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 0
11 3 1 0 2 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
12 3 1 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
13 3 0 1 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
14 3 0 1 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
15 4 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1
16 4 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1
17 2 1 0 2 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
18 2 0 1 2 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
19 2 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 3
20 2 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 3
21 3 1 0 3 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1
22 3 1 0 3 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1
23 3 1 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
24 3 1 0 2 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
25 3 0 1 2 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
26 3 0 1 2 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
27 4 1 0 3 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 0
28 1 0 1 1 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 2
29 2 1 0 3 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 0
30 2 1 0 2 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
31 2 1 0 2 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
32 2 0 1 2 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
33 2 0 1 2 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
34 2 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 3
35 2 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 3
36 3 1 0 3 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2
37 3 1 0 3 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1
38 3 1 0 3 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1
39 3 1 0 2 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
40 3 0 1 2 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
41 4 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 1
42 4 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 1
43 1 1 0 2 1 0 3 1 0 2 0 1 0 0 0 1 0 0 0 0 1
44 1 0 1 2 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 1
45 1 0 1 1 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 3
46 1 0 1 1 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 3
47 2 1 0 3 0 1 2 0 1 1 0 1 0 0 0 1 0 0 0 0 1
48 2 1 0 3 0 1 2 1 0 1 1 0 0 0 0 1 0 0 0 0 1
49 2 1 0 2 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 3
50 2 1 0 2 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 2
51 2 1 0 2 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 2
52 2 0 1 2 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 3
53 2 0 1 2 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 2
54 2 0 1 2 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 2
55 2 0 1 1 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 2
56 3 1 0 3 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 2
57 3 1 0 3 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 2
58 3 1 0 3 0 1 1 1 0 2 0 1 0 0 1 1 0 0 0 0 0
59 3 1 0 2 1 0 0 1 0 2 0 1 0 0 0 0 1 0 0 0 2
60 3 1 0 2 1 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 2
61 3 0 1 2 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 2
62 3 0 1 2 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 2
63 4 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 1 0 0
64 0 0 1 1 1 0 3 1 0 2 0 1 0 0 0 1 0 0 0 0 2
65 1 1 0 3 0 1 4 1 0 2 0 1 0 0 0 1 0 0 0 0 0
66 1 1 0 2 1 0 2 0 1 1 0 1 0 0 0 1 0 0 0 0 2
67 1 1 0 2 1 0 2 1 0 1 1 0 0 0 0 1 0 0 0 0 2
68 1 0 1 2 0 1 2 0 1 1 0 1 0 0 0 1 0 0 0 0 2
69 1 0 1 2 0 1 2 1 0 1 1 0 0 0 0 1 0 0 0 0 2
70 1 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 4
71 1 0 1 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 3
72 1 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 3
73 2 1 0 3 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 2
74 2 1 0 3 0 1 2 0 0 1 0 1 1 0 0 1 0 0 0 0 1
75 2 1 0 3 0 1 2 1 0 1 0 0 0 1 0 1 0 0 0 0 1
76 2 1 0 2 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 3
77 2 1 0 2 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 3
78 2 1 0 2 1 0 1 1 0 2 0 1 0 0 1 1 0 0 0 0 1
79 2 0 1 2 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 3
80 2 0 1 2 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 3
