Max SUM: 6
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
0 8 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
1 7 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
2 7 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
3 6 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 2
4 7 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0
5 6 1 0 2 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
6 6 0 1 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
7 7 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
8 7 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
9 5 0 1 1 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 2
10 6 1 0 3 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 0
11 6 1 0 2 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
12 6 1 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
13 6 0 1 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
14 6 0 1 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
15 7 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1
16 7 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1
17 5 1 0 2 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
18 5 0 1 2 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
19 5 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 3
20 5 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 3
21 6 1 0 3 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1
22 6 1 0 3 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1
23 6 1 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
24 6 1 0 2 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
25 6 0 1 2 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
26 6 0 1 2 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
27 7 1 0 3 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 0
28 4 0 1 1 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 2
29 5 1 0 3 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 0
30 5 1 0 2 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
31 5 1 0 2 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
32 5 0 1 2 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
33 5 0 1 2 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
34 5 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 3
35 5 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 3
36 6 1 0 3 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2
37 6 1 0 3 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1
38 6 1 0 3 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1
39 6 1 0 2 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
40 6 0 1 2 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
41 7 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 1
42 7 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 1
43 4 1 0 2 1 0 3 1 0 2 0 1 0 0 0 1 0 0 0 0 1
44 4 0 1 2 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 1
45 4 0 1 1 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 3
46 4 0 1 1 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 3
47 5 1 0 3 0 1 2 0 1 1 0 1 0 0 0 1 0 0 0 0 1
48 5 1 0 3 0 1 2 1 0 1 1 0 0 0 0 1 0 0 0 0 1
49 5 1 0 2 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 3
50 5 1 0 2 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 2
51 5 1 0 2 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 2
52 5 0 1 2 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 3
53 5 0 1 2 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 2
54 5 0 1 2 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 2
55 5 0 1 1 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 2
56 6 1 0 3 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 2
57 6 1 0 3 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 2
58 6 1 0 3 0 1 1 1 0 2 0 1 0 0 1 1 0 0 0 0 0
59 6 1 0 2 1 0 0 1 0 2 0 1 0 0 0 0 1 0 0 0 2
60 6 1 0 2 1 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 2
61 6 0 1 2 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 2
62 6 0 1 2 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 2
63 7 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 1 0 0
64 3 0 1 1 1 0 3 1 0 2 0 1 0 0 0 1 0 0 0 0 2
65 4 1 0 3 0 1 4 1 0 2 0 1 0 0 0 1 0 0 0 0 0
66 4 1 0 2 1 0 2 0 1 1 0 1 0 0 0 1 0 0 0 0 2
67 4 1 0 2 1 0 2 1 0 1 1 0 0 0 0 1 0 0 0 0 2
