Max SUM: 3
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
0 3 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
1 2 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
2 2 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
3 1 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 2
4 2 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0
5 1 1 0 2 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
6 1 0 1 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
7 2 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
8 2 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
9 0 0 1 1 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 2
10 1 1 0 3 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 0
11 1 1 0 2 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
12 1 1 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
13 1 0 1 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
14 1 0 1 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
15 2 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1
16 2 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1
17 0 1 0 2 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
18 0 0 1 2 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
19 0 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 3
20 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 3
21 1 1 0 3 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1
22 1 1 0 3 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1
23 1 1 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
24 1 1 0 2 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
25 1 0 1 2 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
26 1 0 1 2 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
27 2 1 0 3 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 0
28 0 1 0 3 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 0
29 0 1 0 2 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
30 0 1 0 2 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
31 0 0 1 2 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
32 0 0 1 2 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
33 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 3
34 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 3
35 1 1 0 3 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2
36 1 1 0 3 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1
37 1 1 0 3 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1
38 1 1 0 2 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
