Max SUM: 6
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
0 10 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
1 9 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
2 9 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
3 8 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 2
4 9 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0
5 8 1 0 2 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
6 8 0 1 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
7 9 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
8 9 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
9 7 0 1 1 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 2
10 8 1 0 3 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 0
11 8 1 0 2 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
12 8 1 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
13 8 0 1 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
14 8 0 1 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
15 9 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1
16 9 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1
17 7 1 0 2 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
18 7 0 1 2 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
19 7 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 3
20 7 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 3
21 8 1 0 3 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1
22 8 1 0 3 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1
23 8 1 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
24 8 1 0 2 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
25 8 0 1 2 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
26 8 0 1 2 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
27 9 1 0 3 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 0
28 6 0 1 1 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 2
29 7 1 0 3 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 0
30 7 1 0 2 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
31 7 1 0 2 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
32 7 0 1 2 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
33 7 0 1 2 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
34 7 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 3
35 7 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 3
36 8 1 0 3 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2
37 8 1 0 3 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1
38 8 1 0 3 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1
39 8 1 0 2 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
40 8 0 1 2 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
41 9 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 1
