Max SUM: 6
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
0 6 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
1 5 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
2 5 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
3 4 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 2
4 5 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0
5 4 1 0 2 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
6 4 0 1 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
7 5 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
8 5 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
9 3 0 1 1 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 2
10 4 1 0 3 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 0
11 4 1 0 2 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
12 4 1 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
13 4 0 1 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
14 4 0 1 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
15 5 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1
16 5 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1
17 3 1 0 2 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
18 3 0 1 2 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
19 3 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 3
20 3 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 3
21 4 1 0 3 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1
22 4 1 0 3 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1
23 4 1 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
24 4 1 0 2 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
25 4 0 1 2 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
26 4 0 1 2 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
27 5 1 0 3 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 0
28 2 0 1 1 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 2
29 3 1 0 3 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 0
30 3 1 0 2 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
31 3 1 0 2 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
32 3 0 1 2 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
33 3 0 1 2 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
34 3 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 3
35 3 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 3
36 4 1 0 3 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2
37 4 1 0 3 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1
38 4 1 0 3 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1
39 4 1 0 2 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
40 4 0 1 2 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
41 5 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 1
42 5 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 1
43 2 1 0 2 1 0 3 1 0 2 0 1 0 0 0 1 0 0 0 0 1
44 2 0 1 2 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 1
45 2 0 1 1 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 3
46 2 0 1 1 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 3
47 3 1 0 3 0 1 2 0 1 1 0 1 0 0 0 1 0 0 0 0 1
48 3 1 0 3 0 1 2 1 0 1 1 0 0 0 0 1 0 0 0 0 1
49 3 1 0 2 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 3
50 3 1 0 2 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 2
51 3 1 0 2 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 2
52 3 0 1 2 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 3
53 3 0 1 2 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 2
54 3 0 1 2 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 2
55 3 0 1 1 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 2
56 4 1 0 3 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 2
57 4 1 0 3 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 2
58 4 1 0 3 0 1 1 1 0 2 0 1 0 0 1 1 0 0 0 0 0
59 4 1 0 2 1 0 0 1 0 2 0 1 0 0 0 0 1 0 0 0 2
60 4 1 0 2 1 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 2
61 4 0 1 2 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 2
62 4 0 1 2 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 2
63 5 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 1 0 0
64 1 0 1 1 1 0 3 1 0 2 0 1 0 0 0 1 0 0 0 0 2
65 2 1 0 3 0 1 4 1 0 2 0 1 0 0 0 1 0 0 0 0 0
66 2 1 0 2 1 0 2 0 1 1 0 1 0 0 0 1 0 0 0 0 2
67 2 1 0 2 1 0 2 1 0 1 1 0 0 0 0 1 0 0 0 0 2
68 2 0 1 2 0 1 2 0 1 1 0 1 0 0 0 1 0 0 0 0 2
69 2 0 1 2 0 1 2 1 0 1 1 0 0 0 0 1 0 0 0 0 2
70 2 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 4
71 2 0 1 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 3
72 2 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 3
73 3 1 0 3 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 2
74 3 1 0 3 0 1 2 0 0 1 0 1 1 0 0 1 0 0 0 0 1
75 3 1 0 3 0 1 2 1 0 1 0 0 0 1 0 1 0 0 0 0 1
76 3 1 0 2 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 3
77 3 1 0 2 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 3
78 3 1 0 2 1 0 1 1 0 2 0 1 0 0 1 1 0 0 0 0 1
79 3 0 1 2 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 3
80 3 0 1 2 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 3
81 3 0 1 2 0 1 1 1 0 2 0 1 0 0 1 1 0 0 0 0 1
82 3 0 1 1 1 0 0 1 0 2 0 1 0 0 0 0 1 0 0 0 3
83 3 0 1 1 1 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 3
84 4 1 0 3 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 2
85 4 1 0 3 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 1
86 4 1 0 3 0 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 1
87 4 1 0 3 0 1 1 1 0 2 0 1 0 0 0 0 1 0 0 0 1
88 4 1 0 3 0 1 1 1 0 2 0 1 0 0 0 0 0 1 0 0 1
89 4 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 1 0 1
90 4 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 1 0 1
91 5 1 0 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 1 1
92 1 1 0 2 1 0 4 1 0 2 0 1 0 0 0 1 0 0 0 0 1
93 1 0 1 2 0 1 4 1 0 2 0 1 0 0 0 1 0 0 0 0 1
94 1 0 1 1 1 0 2 0 1 1 0 1 0 0 0 1 0 0 0 0 3
95 1 0 1 1 1 0 2 1 0 1 1 0 0 0 0 1 0 0 0 0 3
96 2 1 0 3 0 1 3 0 1 1 0 1 0 0 0 1 0 0 0 0 1
97 2 1 0 3 0 1 3 1 0 1 1 0 0 0 0 1 0 0 0 0 1
98 2 1 0 2 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 3
99 2 1 0 2 1 0 2 0 0 1 0 1 1 0 0 1 0 0 0 0 2
100 2 1 0 2 1 0 2 1 0 1 0 0 0 1 0 1 0 0 0 0 2
101 2 0 1 2 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 3
102 2 0 1 2 0 1 2 0 0 1 0 1 1 0 0 1 0 0 0 0 2
103 2 0 1 2 0 1 2 1 0 1 0 0 0 1 0 1 0 0 0 0 2
104 2 0 1 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 4
105 2 0 1 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 4
106 2 0 1 1 1 0 1 1 0 2 0 1 0 0 1 1 0 0 0 0 2
107 3 1 0 3 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 2
108 3 1 0 3 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 2
109 3 1 0 3 0 1 2 1 0 2 0 1 0 0 1 1 0 0 0 0 0
110 3 1 0 2 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 3
111 3 1 0 2 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 2
112 3 1 0 2 1 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 2
113 3 1 0 2 1 0 1 1 0 2 0 1 0 0 0 0 1 0 0 0 2
114 3 1 0 2 1 0 1 1 0 2 0 1 0 0 0 0 0 1 0 0 2
115 3 0 1 2 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 3
116 3 0 1 2 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 2
117 3 0 1 2 0 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 2
118 3 0 1 2 0 1 1 1 0 2 0 1 0 0 0 0 1 0 0 0 2
119 3 0 1 2 0 1 1 1 0 2 0 1 0 0 0 0 0 1 0 0 2
120 3 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 1 0 2
121 4 1 0 3 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 0 1
122 4 1 0 3 0 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0 1
123 4 1 0 3 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 2
124 4 1 0 3 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 2
125 4 1 0 3 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 2
126 4 1 0 3 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 2
127 4 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 1 0 0
128 4 1 0 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 1 2
129 4 0 1 1 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 1 2
130 0 0 1 1 1 0 4 1 0 2 0 1 0 0 0 1 0 0 0 0 2
131 1 1 0 3 0 1 5 1 0 2 0 1 0 0 0 1 0 0 0 0 0
132 1 1 0 2 1 0 3 0 1 1 0 1 0 0 0 1 0 0 0 0 2
133 1 1 0 2 1 0 3 1 0 1 1 0 0 0 0 1 0 0 0 0 2
134 1 0 1 2 0 1 3 0 1 1 0 1 0 0 0 1 0 0 0 0 2
135 1 0 1 2 0 1 3 1 0 1 1 0 0 0 0 1 0 0 0 0 2
136 1 0 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 4
137 1 0 1 1 1 0 2 0 0 1 0 1 1 0 0 1 0 0 0 0 3
138 1 0 1 1 1 0 2 1 0 1 0 0 0 1 0 1 0 0 0 0 3
139 2 1 0 3 0 1 2 0 1 0 1 0 0 0 0 1 0 0 0 0 2
140 2 1 0 3 0 1 3 0 0 1 0 1 1 0 0 1 0 0 0 0 1
141 2 1 0 3 0 1 3 1 0 1 0 0 0 1 0 1 0 0 0 0 1
142 2 1 0 2 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 3
143 2 1 0 2 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 3
144 2 1 0 2 1 0 2 1 0 2 0 1 0 0 1 1 0 0 0 0 1
145 2 0 1 2 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 3
146 2 0 1 2 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 3
147 2 0 1 2 0 1 2 1 0 2 0 1 0 0 1 1 0 0 0 0 1
148 2 0 1 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 4
149 2 0 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 3
150 2 0 1 1 1 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 3
151 2 0 1 1 1 0 1 1 0 2 0 1 0 0 0 0 1 0 0 0 3
152 2 0 1 1 1 0 1 1 0 2 0 1 0 0 0 0 0 1 0 0 3
153 3 1 0 3 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 2
