Max SUM: 1
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
0 1 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
1 0 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
2 0 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
3 0 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0
4 0 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
5 0 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
6 0 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1
7 0 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1
8 0 1 0 3 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 0
9 0 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 1
10 0 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 1
11 0 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 1 0 0
12 0 1 0 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 1 1
