Max SUM: 6
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
71 3 0 1 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 3
72 3 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 3
73 4 1 0 3 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 2
74 4 1 0 3 0 1 2 0 0 1 0 1 1 0 0 1 0 0 0 0 1
75 4 1 0 3 0 1 2 1 0 1 0 0 0 1 0 1 0 0 0 0 1
76 4 1 0 2 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 3
77 4 1 0 2 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 3
78 4 1 0 2 1 0 1 1 0 2 0 1 0 0 1 1 0 0 0 0 1
79 4 0 1 2 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 3
80 4 0 1 2 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 3
81 4 0 1 2 0 1 1 1 0 2 0 1 0 0 1 1 0 0 0 0 1
82 4 0 1 1 1 0 0 1 0 2 0 1 0 0 0 0 1 0 0 0 3
83 4 0 1 1 1 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 3
84 5 1 0 3 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 2
85 5 1 0 3 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 1
86 5 1 0 3 0 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 1
87 5 1 0 3 0 1 1 1 0 2 0 1 0 0 0 0 1 0 0 0 1
88 5 1 0 3 0 1 1 1 0 2 0 1 0 0 0 0 0 1 0 0 1
89 5 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 1 0 1
90 5 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 1 0 1
91 6 1 0 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 1 1
92 2 1 0 2 1 0 4 1 0 2 0 1 0 0 0 1 0 0 0 0 1
93 2 0 1 2 0 1 4 1 0 2 0 1 0 0 0 1 0 0 0 0 1
94 2 0 1 1 1 0 2 0 1 1 0 1 0 0 0 1 0 0 0 0 3
95 2 0 1 1 1 0 2 1 0 1 1 0 0 0 0 1 0 0 0 0 3
96 3 1 0 3 0 1 3 0 1 1 0 1 0 0 0 1 0 0 0 0 1
97 3 1 0 3 0 1 3 1 0 1 1 0 0 0 0 1 0 0 0 0 1
98 3 1 0 2 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 3
99 3 1 0 2 1 0 2 0 0 1 0 1 1 0 0 1 0 0 0 0 2
100 3 1 0 2 1 0 2 1 0 1 0 0 0 1 0 1 0 0 0 0 2
101 3 0 1 2 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 3
102 3 0 1 2 0 1 2 0 0 1 0 1 1 0 0 1 0 0 0 0 2
103 3 0 1 2 0 1 2 1 0 1 0 0 0 1 0 1 0 0 0 0 2
104 3 0 1 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 4
105 3 0 1 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 4
106 3 0 1 1 1 0 1 1 0 2 0 1 0 0 1 1 0 0 0 0 2
107 4 1 0 3 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 2
108 4 1 0 3 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 2
109 4 1 0 3 0 1 2 1 0 2 0 1 0 0 1 1 0 0 0 0 0
110 4 1 0 2 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 3
111 4 1 0 2 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 2
112 4 1 0 2 1 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 2
113 4 1 0 2 1 0 1 1 0 2 0 1 0 0 0 0 1 0 0 0 2
114 4 1 0 2 1 0 1 1 0 2 0 1 0 0 0 0 0 1 0 0 2
115 4 0 1 2 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 3
