Max SUM: 2
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
0 2 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
1 1 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
2 1 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
3 0 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 2
4 1 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0
5 0 1 0 2 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
6 0 0 1 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
7 1 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
8 1 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
9 0 1 0 3 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 0
10 0 1 0 2 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
11 0 1 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
12 0 0 1 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
13 0 0 1 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
14 1 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1
15 1 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1
16 0 1 0 3 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1
17 0 1 0 3 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1
18 0 1 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
19 0 1 0 2 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
20 0 0 1 2 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
21 0 0 1 2 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
22 1 1 0 3 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 0
23 0 1 0 3 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2
24 0 1 0 3 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1
25 0 1 0 3 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1
26 0 1 0 2 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
27 0 0 1 2 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
28 1 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 1
29 1 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 1
30 0 1 0 3 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 2
