Max SUM: 4
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
0 4 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
1 3 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
2 3 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
3 2 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 2
4 3 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0
5 2 1 0 2 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
6 2 0 1 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
7 3 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
8 3 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
9 1 0 1 1 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 2
10 2 1 0 3 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 0
11 2 1 0 2 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
12 2 1 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
13 2 0 1 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
14 2 0 1 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
15 3 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1
16 3 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1
17 1 1 0 2 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
18 1 0 1 2 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
19 1 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 3
20 1 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 3
