Max SUM: 6
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
0 9 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
1 8 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
2 8 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
3 7 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 2
4 8 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0
5 7 1 0 2 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
6 7 0 1 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
7 8 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
8 8 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
9 6 0 1 1 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 2
10 7 1 0 3 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 0
11 7 1 0 2 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
12 7 1 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
13 7 0 1 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
14 7 0 1 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
15 8 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1
16 8 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1
17 6 1 0 2 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
18 6 0 1 2 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
19 6 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 3
20 6 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 3
21 7 1 0 3 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1
22 7 1 0 3 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1
23 7 1 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
24 7 1 0 2 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
25 7 0 1 2 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
26 7 0 1 2 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
27 8 1 0 3 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 0
28 5 0 1 1 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 2
29 6 1 0 3 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 0
30 6 1 0 2 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
31 6 1 0 2 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
32 6 0 1 2 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
33 6 0 1 2 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
34 6 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 3
35 6 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 3
36 7 1 0 3 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2
37 7 1 0 3 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1
38 7 1 0 3 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1
39 7 1 0 2 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
40 7 0 1 2 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
41 8 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 1
42 8 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 1
43 5 1 0 2 1 0 3 1 0 2 0 1 0 0 0 1 0 0 0 0 1
44 5 0 1 2 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 1
45 5 0 1 1 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 3
46 5 0 1 1 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 3
47 6 1 0 3 0 1 2 0 1 1 0 1 0 0 0 1 0 0 0 0 1
48 6 1 0 3 0 1 2 1 0 1 1 0 0 0 0 1 0 0 0 0 1
49 6 1 0 2 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 3
50 6 1 0 2 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 2
51 6 1 0 2 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 2
52 6 0 1 2 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 3
53 6 0 1 2 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 2
54 6 0 1 2 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 2
55 6 0 1 1 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 2
56 7 1 0 3 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 2
57 7 1 0 3 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 2
58 7 1 0 3 0 1 1 1 0 2 0 1 0 0 1 1 0 0 0 0 0
59 7 1 0 2 1 0 0 1 0 2 0 1 0 0 0 0 1 0 0 0 2
60 7 1 0 2 1 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 2
61 7 0 1 2 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 2
62 7 0 1 2 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 2
63 8 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 1 0 0
64 4 0 1 1 1 0 3 1 0 2 0 1 0 0 0 1 0 0 0 0 2
65 5 1 0 3 0 1 4 1 0 2 0 1 0 0 0 1 0 0 0 0 0
